Service,Category,Cost (RM),Selfpay (RM),Panel1 (RM),Panel2 (RM),Panel3 (RM),Panel4 (RM),Panel5 (RM)
** INCISION & DRAINAGE (<5CM/SMALL),procedure,0.00,150.00,155.00,100.00,0.00,150.00,
INDIRECT BILIRUBIN (PANTAI LAB - IBIL),investigation,0.00,15.00,20.00,7.00,0.00,9999.00,
"IRON STUDIES (IRON,FERRITIN,TRANSFERRIN,TIBC) (PANTAI LAB - IS)",investigation,0.00,100.00,105.00,47.00,0.00,9999.00,
IUCD INSERTION,investigation,0.00,120.00,120.00,120.00,0.00,9999.00,
IUCD INSERTION (CU375),procedure,0.00,500.00,505.00,350.00,0.00,9999.00,
IUCD INSERTION (MIRENA),procedure,0.00,1150.00,1155.00,750.00,0.00,9999.00,
IUCD INSERTION (WITHOUT DEVICE),procedure,0.00,120.00,125.00,60.00,0.00,9999.00,
IUCD REMOVAL,procedure,0.00,20.00,25.00,10.00,0.00,,
** IV DRIP,procedure,0.00,110.00,115.00,50.00,0.00,110.00,
IV DRIP+ PARENTROVITE/SOLUVIT,procedure,0.00,160.00,165.00,100.00,0.00,9999.00,
KAD ALAHAN - ALLERGY CARD,service,0.00,5.00,5.00,3.00,0.00,0.00,
KAD TYPHOID SAHAJA,service,0.00,10.00,10.00,5.00,0.00,9999.00,
KELOID INJECTION (SHINCORT),procedure,0.00,150.00,155.00,10.00,0.00,9999.00,
LEPTOSPIRA IgG/IgM (IN-CLINIC),investigation,0.00,45.00,50.00,20.00,0.00,9999.00,
LEPTOSPIRA IgM (PANTAI LAB - LEP),investigation,0.00,120.00,125.00,66.00,0.00,9999.00,
** LIGNOCAINE Injection,procedure,0.00,10.00,10.00,5.00,3.70,35.00,
** LIVER FUNCTION TEST PROFILE C  (PANTAI LAB - LI03),investigation,0.00,34.00,41.00,20.00,0.00,25.00,
LUTEINIZING HORMONE (LH),investigation,0.00,50.00,55.00,25.00,0.00,9999.00,
MAGNESIUM (PANTAI LAB - MG),investigation,0.00,20.00,25.00,8.00,0.00,,
MALARIA Ag P.f/PAN RAPID TEST IN-CLINIC,investigation,0.00,40.00,45.00,10.00,0.00,9999.00,
"MALARIA PARASITE , BLOOD FILM (PANTAI LAB - BFMP)",investigation,0.00,35.00,40.00,10.00,0.00,9999.00,
MEDICAL CHECK-UP (BASIC),investigation,0.00,30.00,30.00,15.00,0.00,9999.00,
MEDICAL CHECK-UP (BASIC+UFEME),investigation,0.00,35.00,35.00,25.00,0.00,9999.00,
MEDICAL CHECK-UP (BASIC+UFEME+XRAY),investigation,0.00,110.00,110.00,110.00,0.00,9999.00,
MEDICAL CHECK-UP (BASIC+XRAY),investigation,0.00,100.00,100.00,50.00,0.00,9999.00,
MEDICAL CHECK-UP GDL,investigation,0.00,30.00,30.00,15.00,0.00,9999.00,
MEDICAL CHECK UP HAJI (PAKEJ A),investigation,0.00,150.00,150.00,150.00,0.00,9999.00,
MEDICAL CHECK UP HAJI (PAKEJ B),investigation,0.00,200.00,200.00,200.00,0.00,9999.00,
MEDICAL CHECK UP HAJI (PAKEJ C),investigation,0.00,310.00,310.00,310.00,0.00,9999.00,
MEDICAL CHECK UP HAJI (PAKEJ D),investigation,0.00,380.00,380.00,380.00,0.00,9999.00,
MEDICAL CHECK UP HAJI (PAKEJ E),investigation,0.00,530.00,530.00,530.00,0.00,9999.00,
MEDICAL CHECK-UP INSURANCE,investigation,0.00,80.00,80.00,40.00,0.00,9999.00,
MEDICAL REPORT,service,0.00,150.00,9999.00,9999.00,9999.00,9999.00,9999.00
MICROPORE,service,0.00,3.00,10.00,2.00,0.00,9999.00,
MOGTT FASTING+2HPP (TERMASUK AIR+CONSULT DR) (PANTAI LAB - GTT2),investigation,0.00,80.00,85.00,35.00,0.00,9999.00,
"** MOGTT, TANPA AIR GULA - (PANTAI LAB GTT2)",investigation,0.00,40.00,45.00,25.00,20.00,35.00,
** (M) USG ANATOMY SCAN,investigation,0.00,150.00,150.00,0.00,0.00,100.00,
** (M) USG COMBO GROWTH 2D + 3D/4D SCAN,investigation,0.00,150.00,150.00,70.00,0.00,100.00,
** (M) USG EARLY PREGNANCY (1ST TRIMESTER),investigation,0.00,50.00,50.00,22.00,0.00,100.00,
** (M) USG GYNAECOLOGICAL,investigation,0.00,50.00,50.00,22.00,0.00,100.00,
** (M) USG JANTINA 2D,investigation,0.00,50.00,50.00,25.00,0.00,100.00,
** (M) USG JANTINA 4D,investigation,0.00,60.00,60.00,30.00,0.00,100.00,
** (M) USG NT Scan,service,0.00,110.00,120.00,50.00,50.00,100.00,130.00
** (M) USG PREGNANCY 2ND-3RD TRIMESTER (2D),investigation,0.00,70.00,70.00,50.00,0.00,100.00,
** (M) USG PREGNANCY 3D/4D/5D,investigation,0.00,135.00,135.00,60.00,0.00,100.00,
** (M) USG TRANSVAGINAL SCAN (TVS),investigation,0.00,70.00,70.00,35.00,0.00,100.00,
** NAIL AVULSION - PARTIAL  (ONE NAIL),procedure,0.00,100.00,100.00,50.00,0.00,100.00,
** NAIL AVULSION - TOTAL (ONE NAIL),procedure,0.00,150.00,150.00,150.00,0.00,100.00,
** NAIL TREPHINATION,procedure,0.00,35.00,40.00,20.00,0.00,100.00,
** NASAL SUCTION,procedure,0.00,30.00,35.00,15.00,0.00,50.00,
NEB + O2 COMBINATION (BUDESONIDE+VENTOLIN/COMBIVENT),procedure,0.00,45.00,50.00,20.00,0.00,9999.00,
NEB + O2 (NAC 0.5ML + OTHERS) PAEDS,procedure,0.00,60.00,65.00,25.00,0.00,9999.00,
NEB + O2 (NAC 1ML+OTHERS) ADULT,procedure,0.00,65.00,70.00,35.00,0.00,9999.00,
NEB + O2 PACKAGE BD X 3/7 (6 SESI),procedure,0.00,200.00,205.00,100.00,0.00,9999.00,
NEB + O2 (PATIENT OWN MEDS),procedure,0.00,30.00,35.00,10.00,0.00,9999.00,
** NEB + O2 (PROCEDURE ONLY),procedure,0.00,40.00,45.00,20.00,10.00,20.00,
NEBULIZER MASK,procedure,0.00,10.00,10.00,10.00,0.00,9999.00,
** NORMAL SALINE,procedure,0.00,0.00,0.00,0.00,0.00,6.00,
ONE TOUCH STRIP (25s),service,0.00,55.00,55.00,38.00,0.00,9999.00,
** OXYGEN SUPPLEMENTATION (NPO2/FMO2/HFMO2),procedure,0.00,50.00,55.00,30.00,0.00,20.00,
** PAP SMEAR (THICK PREP/SLIDE) (PANTAI LAB - H208),investigation,0.00,40.00,45.00,40.00,0.00,50.00,
PAP SMEAR (THIN PREP) - (PANTAI LAB - H308),investigation,0.00,80.00,85.00,40.00,0.00,9999.00,
PEKA FIRST VISIT,investigation,0.00,20.00,20.00,20.00,0.00,9999.00,
PEKA SECOND VISIT,investigation,0.00,40.00,40.00,40.00,0.00,9999.00,
** PERIPHERAL BLOOD FILM (PANTAI LAB - PBF),investigation,0.00,40.00,45.00,21.00,0.00,30.00,
PLANTAR FASCITIS FOOT ARCH SUPPORT,service,0.00,30.00,35.00,15.00,14.22,,
PLANTAR FASCITIS FOOT SPLINT BRACE ADJUSTABLE STRAP,service,0.00,35.00,40.00,20.00,18.99,,
PLANTAR FASCITIS INJECTION (SHINCORT),procedure,0.00,150.00,155.00,75.00,0.00,9999.00,
PLATELET RICH PLASMA - PRP (PLANTAR),procedure,0.00,500.00,505.00,250.00,0.00,9999.00,
PLATELET RICH PLASMA - PRP (SHOULDER),procedure,0.00,500.00,505.00,250.00,0.00,9999.00,
POTASSIUM (PANTAI LAB - K),investigation,0.00,12.00,17.00,6.00,0.00,,
PRE-EMPLOYMENT HIJRAA LELAKI (BASIC+BSH1+CXR),investigation,0.00,90.00,0.00,0.00,0.00,9999.00,
PRE-EMPLOYMENT HIJRAA PEREMPUAN (BASIC+CXR+BHS1+UPT),investigation,0.00,100.00,0.00,0.00,0.00,9999.00,
PRESCRIPTION LETTER,service,0.00,10.00,10.00,5.00,0.00,0.00,
** PROCTOSCOPE,investigation,0.00,25.00,25.00,13.00,0.00,25.00,
PROGESTERONE TEST (PANTAI LAB - PROG),investigation,0.00,60.00,65.00,30.00,0.00,9999.00,
PROLACTIN + FSH + LH (PANTAI LAB - ME04),investigation,0.00,125.00,130.00,63.00,0.00,9999.00,
** PROSTATE SPECIFIC ANTIGEN (ALA CARTE) (PANTAI LAB - PSA),investigation,0.00,80.00,85.00,40.00,0.00,45.00,
PRP INTRAARTICULAR KNEE INJECTION (SINGLE KNEE),procedure,0.00,1000.00,1000.00,1000.00,0.00,9999.00,
** RENAL PROFILE F - RP (PANTAI LAB- RE10),investigation,0.00,35.00,40.00,20.00,0.00,25.00,
REUSABLE HOT & COLD GEL PACK (SIZE L),service,0.00,25.00,30.00,15.00,0.00,9999.00,
REUSABLE HOT & COLD GEL PACK (SIZE M),service,0.00,20.00,25.00,8.00,0.00,9999.00,
